Hand #,Marked,Site,Date,Stake,My C Won,Final Hand,Hole Cards,PF Act,Flop,F Act,Turn,T Act,River,R Act,Winner,Winning Hand,Pot,Rake,won_cumul
213869000000,NA,PokerStars,5/18/2020 9:26,$1 NL (6 max),$0.00,(folded preflop),9d6c,F,Jc9s3h,NA,0,NA,0,NA,Gissa22879,(did not show hand),$9.00,$0.45,738.5400000000001
213869000000,NA,PokerStars,5/18/2020 9:26,$1 NL (6 max),$1.50,(did not show hand),KdJc,R,0,NA,0,NA,0,NA,Chip3ter,(did not show hand),$2.50,$0.00,740.0400000000001
213870000000,NA,PokerStars,5/18/2020 9:27,$1 NL (6 max),($1.00),(folded preflop),Ts4s,F,7dAs8d,NA,6c,NA,0,NA,Estelle Getty,(did not show hand),$44.30,$2.22,739.0400000000001
213870000000,NA,PokerStars,5/18/2020 9:27,$1 NL (6 max),($1.00),(folded flop),6h2d,X,7cTh8c,XF,0,NA,0,NA,12Gator12,(did not show hand),$4.50,$0.22,738.0400000000001
213870000000,NA,PokerStars,5/18/2020 9:27,$1 NL (6 max),$16.89,"Two Pair, Jacks and Nines",Jc8c,C,7s9s9h,XC,Js,XC,3c,X,Chip3ter,"Two Pair, Jacks and Nines",$34.20,$1.71,754.9300000000001
213870000000,NA,PokerStars,5/18/2020 9:27,$1 NL (6 max),$29.27,(did not show hand),KdKc,R,Qd2h9c,B,Td,B,Tc,B,Chip3ter,"Two Pair, Kings and Tens",$63.04,$3.00,784.2
213870000000,NA,PokerStars,5/18/2020 9:27,$1 NL (6 max),($6.09),(folded river),KhJd,R,5c8d7d,B,2h,X,8c,F,Estelle Getty,(did not show hand),$12.68,$0.63,778.11
213870000000,NA,PokerStars,5/18/2020 9:28,$1 NL (6 max),$0.00,(folded preflop),Qh5d,F,9c6hJh,NA,0,NA,0,NA,PocketEvs11,(did not show hand),$6.00,$0.30,778.11
213870000000,NA,PokerStars,5/18/2020 9:28,$1 NL (6 max),$0.00,(folded preflop),8h5d,F,Qs7sTc,NA,Td,NA,5c,NA,nylman,"Two Pair, Tens and Fives",$3.50,$0.18,778.11
213870000000,NA,PokerStars,5/18/2020 9:28,$1 NL (6 max),$0.00,(folded preflop),7d4d,F,QdAcAd,NA,7s,NA,2c,NA,12Gator12,"Two Pair, Aces and Threes",$8.70,$0.44,778.11
213870000000,NA,PokerStars,5/18/2020 9:28,$1 NL (6 max),$1.00,(did not show hand),7s6s,R,0,NA,0,NA,0,NA,Chip3ter,(did not show hand),$2.00,$0.00,779.11
213870000000,NA,PokerStars,5/18/2020 9:28,$1 NL (6 max),($0.50),(folded preflop),Qs3s,F,0,NA,0,NA,0,NA,maschers68,(did not show hand),$2.50,$0.00,778.61
213870000000,NA,PokerStars,5/18/2020 9:28,$1 NL (6 max),($0.50),(folded preflop),Ts4h,F,Td8c5c,NA,6c,NA,2s,NA,Gissa22879,(did not show hand),$7.26,$0.36,778.11
213870000000,NA,PokerStars,5/18/2020 9:29,$1 NL (6 max),$0.00,(folded preflop),9s5h,F,Kc2d5d,NA,5s,NA,0,NA,Estelle Getty,(did not show hand),$7.50,$0.38,778.11
213870000000,NA,PokerStars,5/18/2020 9:29,$1 NL (6 max),($3.00),(folded turn),QdJs,R,7dTs6s,X,5s,F,Ah,NA,maschers68,"Flush, Ace High",$48.44,$2.42,775.11
213870000000,NA,PokerStars,5/18/2020 9:29,$1 NL (6 max),$0.00,(folded preflop),4s2d,F,7s3sJc,NA,2s,NA,6s,NA,JDUBB0419,"One Pair, Jacks",$32.00,$1.60,775.11
213870000000,NA,PokerStars,5/18/2020 9:30,$1 NL (6 max),($1.00),(folded preflop),Qd2d,F,AcAh3s,NA,0,NA,0,NA,gmmg1129,(did not show hand),$7.50,$0.38,774.11
213870000000,NA,PokerStars,5/18/2020 9:30,$1 NL (6 max),$0.00,(folded preflop),Qc3s,F,Kd4d4s,NA,0,NA,0,NA,PocketEvs11,(did not show hand),$7.50,$0.38,774.11
213870000000,NA,PokerStars,5/18/2020 9:30,$1 NL (6 max),($3.00),(folded flop),KsTd,R,6d8dJd,F,0,NA,0,NA,Estelle Getty,(did not show hand),$12.00,$0.60,771.11
213870000000,NA,PokerStars,5/18/2020 9:30,$1 NL (6 max),$0.00,(folded preflop),Ah9s,F,KcAs3h,NA,4s,NA,3d,NA,johntozz1,(did not show hand),$13.50,$0.68,771.11
213870000000,NA,PokerStars,5/18/2020 9:31,$1 NL (6 max),($1.00),(folded turn),7h3s,X,5h3hJs,X,Jc,F,0,NA,johntozz1,(did not show hand),$3.00,$0.15,770.11
213870000000,NA,PokerStars,5/18/2020 9:31,$1 NL (6 max),$2.28,(did not show hand),Jc4c,X,5hJh5c,B,8d,B,0,NA,Chip3ter,(did not show hand),$4.50,$0.22,772.39
213870000000,NA,PokerStars,5/18/2020 9:31,$1 NL (6 max),($0.50),(folded preflop),QcTd,F,3s6hAs,NA,Ts,NA,8s,NA,LdN_callingg,"Three of a Kind, Threes",$31.50,$1.58,771.89
213870000000,NA,PokerStars,5/18/2020 9:31,$1 NL (6 max),$0.00,(folded preflop),Qs6d,F,Kh4h6c,NA,0,NA,0,NA,12Gator12,(did not show hand),$6.50,$0.32,771.89
213870000000,NA,PokerStars,5/18/2020 9:32,$1 NL (6 max),$0.00,(folded preflop),5s2h,F,8hKc3c,NA,5c,NA,0,NA,gmmg1129,(did not show hand),$11.50,$0.58,771.89
